"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id","peak_offpeak"
"4","A3354DB4","GO303_24_7995","Penn Station","7995","1","C5955902W","0"
"4","A3354DB4","GO303_24_7996","Ronkonkoma","7996","0","C5955902","0"
"4","A3354DB4","GO303_24_7997","Penn Station","7997","1","C5955902W","0"
"4","A3354DB4","GO303_24_7999","Penn Station","7999","1","C5955902W","0"
"12","A3354DB4","GO303_24_8372","Jamaica","8372","0","436E0248","0"
"12","A3354DB4","GO303_24_8404","Jamaica","8404","0","5E489136","0"
"7","A3354DB4","GO303_24_8701","Grand Central","8701","1","D895985AW","0"
"7","A3354DB4","GO303_24_8702","Far Rockaway","8702","0","D895985A","0"
"7","A3354DB4","GO303_24_8703","Penn Station","8703","1","A3EBB8CEW","0"
"7","A3354DB4","GO303_24_8704","Far Rockaway","8704","0","A3EBB8CE","0"
"7","A3354DB4","GO303_24_8705","Penn Station","8705","1","A3EBB8CEW","0"
"7","A3354DB4","GO303_24_8706","Far Rockaway","8706","0","A3EBB8CE","0"
"7","A3354DB4","GO303_24_8708","Far Rockaway","8708","0","D895985A","0"
"7","A3354DB4","GO303_24_8709","Grand Central","8709","1","D895985AW","0"
"7","A3354DB4","GO303_24_8710","Far Rockaway","8710","0","D895985A","0"
"7","A3354DB4","GO303_24_8711","Grand Central","8711","1","D895985AW","0"
"7","A3354DB4","GO303_24_8712","Far Rockaway","8712","0","D895985A","0"
"7","A3354DB4","GO303_24_8713","Grand Central","8713","1","D895985AW","0"
"7","A3354DB4","GO303_24_8714","Far Rockaway","8714","0","D895985A","0"
"7","A3354DB4","GO303_24_8715","Grand Central","8715","1","D895985AW","0"
"7","A3354DB4","GO303_24_8716","Far Rockaway","8716","0","D895985A","0"
"7","A3354DB4","GO303_24_8717","Grand Central","8717","1","D895985AW","0"
"7","A3354DB4","GO303_24_8718","Far Rockaway","8718","0","D895985A","0"
"7","A3354DB4","GO303_24_8719","Grand Central","8719","1","D895985AW","0"
"7","A3354DB4","GO303_24_8720","Far Rockaway","8720","0","D895985A","0"
"7","A3354DB4","GO303_24_8721","Grand Central","8721","1","D895985AW","0"
"7","A3354DB4","GO303_24_8750","Far Rockaway","8750","0","D895985A","0"
"7","A3354DB4","GO303_24_8751","Grand Central","8751","1","D895985AW","0"
"7","A3354DB4","GO303_24_8752","Far Rockaway","8752","0","D895985A","0"
"7","A3354DB4","GO303_24_8753","Grand Central","8753","1","D895985AW","0"
"7","A3354DB4","GO303_24_8754","Far Rockaway","8754","0","D895985A","0"
"7","A3354DB4","GO303_24_8755","Grand Central","8755","1","D895985AW","0"
"7","A3354DB4","GO303_24_8756","Far Rockaway","8756","0","D895985A","0"
"7","A3354DB4","GO303_24_8757","Grand Central","8757","1","D895985AW","0"
"7","A3354DB4","GO303_24_8758","Far Rockaway","8758","0","D895985A","0"
"7","A3354DB4","GO303_24_8760","Far Rockaway","8760","0","D895985A","0"
"7","A3354DB4","GO303_24_8761","Grand Central","8761","1","D895985AW","0"
"7","A3354DB4","GO303_24_8762","Far Rockaway","8762","0","D895985A","0"
"7","A3354DB4","GO303_24_8763","Grand Central","8763","1","D895985AW","0"
"7","A3354DB4","GO303_24_8764","Far Rockaway","8764","0","D895985A","0"
"7","A3354DB4","GO303_24_8765","Grand Central","8765","1","D895985AW","0"
"7","A3354DB4","GO303_24_8766","Far Rockaway","8766","0","D895985A","0"
"7","A3354DB4","GO303_24_8767","Grand Central","8767","1","D895985AW","0"
"7","A3354DB4","GO303_24_8768","Far Rockaway","8768","0","D895985A","0"
"7","A3354DB4","GO303_24_8769","Grand Central","8769","1","D895985AW","0"
"7","A3354DB4","GO303_24_8770","Far Rockaway","8770","0","D895985A","0"
"7","A3354DB4","GO303_24_8772","Far Rockaway","8772","0","D895985A","0"
"7","A3354DB4","GO303_24_8773","Grand Central","8773","1","D895985AW","0"
"7","A3354DB4","GO303_24_8775","Grand Central","8775","1","D895985AW","0"
"7","A3354DB4","GO303_24_8777","Grand Central","8777","1","D895985AW","0"
"12","A3354DB4","GO303_24_8800","Jamaica","8800","0","76789C63","0"
"12","A3354DB4","GO303_24_8801","Atlantic Terminal","8801","1","76789C63W","0"
"12","A3354DB4","GO303_24_8802","Jamaica","8802","0","76789C63","0"
"12","A3354DB4","GO303_24_8803","Atlantic Terminal","8803","1","76789C63W","0"
"12","A3354DB4","GO303_24_8804","Jamaica","8804","0","76789C63","0"
"12","A3354DB4","GO303_24_8805","Atlantic Terminal","8805","1","76789C63W","0"
"12","A3354DB4","GO303_24_8808","Jamaica","8808","0","76789C63","0"
"12","A3354DB4","GO303_24_8809","Atlantic Terminal","8809","1","76789C63W","0"
"12","A3354DB4","GO303_24_8810","Jamaica","8810","0","76789C63","0"
"12","A3354DB4","GO303_24_8812","Jamaica","8812","0","76789C63","0"
"12","A3354DB4","GO303_24_8818","Jamaica","8818","0","76789C63","0"
"12","A3354DB4","GO303_24_8819","Atlantic Terminal","8819","1","76789C63W","0"
"12","A3354DB4","GO303_24_8820","Jamaica","8820","0","76789C63","0"
"12","A3354DB4","GO303_24_8821","Atlantic Terminal","8821","1","76789C63W","0"
"12","A3354DB4","GO303_24_8822","Jamaica","8822","0","76789C63","0"
"12","A3354DB4","GO303_24_8823","Atlantic Terminal","8823","1","76789C63W","0"
"12","A3354DB4","GO303_24_8824","Jamaica","8824","0","76789C63","0"
"12","A3354DB4","GO303_24_8827","Atlantic Terminal","8827","1","76789C63W","0"
"12","A3354DB4","GO303_24_8828","Jamaica","8828","0","76789C63","0"
"12","A3354DB4","GO303_24_8829","Atlantic Terminal","8829","1","76789C63W","0"
"12","A3354DB4","GO303_24_8830","Jamaica","8830","0","76789C63","0"
"12","A3354DB4","GO303_24_8831","Atlantic Terminal","8831","1","76789C63W","0"
"12","A3354DB4","GO303_24_8834","Jamaica","8834","0","76789C63","0"
"12","A3354DB4","GO303_24_8835","Atlantic Terminal","8835","1","76789C63W","0"
"12","A3354DB4","GO303_24_8836","Jamaica","8836","0","76789C63","0"
"12","A3354DB4","GO303_24_8837","Atlantic Terminal","8837","1","76789C63W","0"
"12","A3354DB4","GO303_24_8838","Jamaica","8838","0","76789C63","0"
"12","A3354DB4","GO303_24_8839","Atlantic Terminal","8839","1","76789C63W","0"
"12","A3354DB4","GO303_24_8840","Jamaica","8840","0","76789C63","0"
"12","A3354DB4","GO303_24_8843","Atlantic Terminal","8843","1","76789C63W","0"
"12","A3354DB4","GO303_24_8844","Jamaica","8844","0","76789C63","0"
"12","A3354DB4","GO303_24_8845","Atlantic Terminal","8845","1","76789C63W","0"
"12","A3354DB4","GO303_24_8846","Jamaica","8846","0","76789C63","0"
"12","A3354DB4","GO303_24_8847","Atlantic Terminal","8847","1","76789C63W","0"
"12","A3354DB4","GO303_24_8848","Jamaica","8848","0","76789C63","0"
"12","A3354DB4","GO303_24_8851","Atlantic Terminal","8851","1","76789C63W","0"
