"service_id","date","exception_type"
"89F5F446","20240515","1"
"89F5F446","20240516","1"
"89F5F446","20240517","1"
"1EDA8457","20240408","1"
"1EDA8457","20240409","1"
"1EDA8457","20240410","1"
"1EDA8457","20240411","1"
"1EDA8457","20240412","1"
"63D070A4","20240413","1"
"63D070A4","20240414","1"
"63D070A4","20240504","1"
"63D070A4","20240505","1"
"63D070A4","20240511","1"
"63D070A4","20240512","1"
"63D070A4","20240518","1"
"63D070A4","20240519","1"
"C87493B9","20240420","1"
"C87493B9","20240421","1"
"C87493B9","20240427","1"
"C87493B9","20240428","1"
"44016811","20240421","1"
"44016811","20240422","1"
"44016811","20240428","1"
"44016811","20240429","1"
"881692FB","20240419","1"
"881692FB","20240420","1"
"881692FB","20240426","1"
"881692FB","20240427","1"
"6678E0FC","20240408","1"
"6678E0FC","20240409","1"
"6678E0FC","20240410","1"
"6678E0FC","20240411","1"
"6678E0FC","20240412","1"
"6678E0FC","20240415","1"
"6678E0FC","20240416","1"
"6678E0FC","20240417","1"
"6678E0FC","20240418","1"
"6678E0FC","20240422","1"
"6678E0FC","20240423","1"
"6678E0FC","20240424","1"
"6678E0FC","20240425","1"
"6678E0FC","20240429","1"
"6678E0FC","20240430","1"
"6678E0FC","20240501","1"
"6678E0FC","20240502","1"
"6678E0FC","20240503","1"
"6678E0FC","20240506","1"
"6678E0FC","20240507","1"
"6678E0FC","20240508","1"
"6678E0FC","20240509","1"
"6678E0FC","20240510","1"
"6678E0FC","20240513","1"
"6678E0FC","20240514","1"
"6678E0FC","20240515","1"
"6678E0FC","20240516","1"
"6678E0FC","20240517","1"
"B97FC3E7","20240419","1"
"B97FC3E7","20240426","1"
"4336301A","20240420","1"
"4336301A","20240427","1"
"1DB5C709","20240408","1"
"1DB5C709","20240409","1"
"1DB5C709","20240410","1"
"1DB5C709","20240411","1"
"1DB5C709","20240412","1"
"1DB5C709","20240415","1"
"1DB5C709","20240416","1"
"1DB5C709","20240417","1"
"1DB5C709","20240418","1"
"1DB5C709","20240419","1"
"1DB5C709","20240423","1"
"1DB5C709","20240424","1"
"1DB5C709","20240425","1"
"1DB5C709","20240426","1"
"1DB5C709","20240430","1"
"1DB5C709","20240501","1"
"1DB5C709","20240502","1"
"1DB5C709","20240503","1"
"1DB5C709","20240506","1"
"1DB5C709","20240507","1"
"1DB5C709","20240508","1"
"1DB5C709","20240509","1"
"1DB5C709","20240510","1"
"1DB5C709","20240513","1"
"1DB5C709","20240514","1"
"1DB5C709","20240515","1"
"1DB5C709","20240516","1"
"1DB5C709","20240517","1"
"32DF7EC6","20240422","1"
"32DF7EC6","20240429","1"
"98217FD0","20240421","1"
"98217FD0","20240428","1"
